symbol,industry
000006,K
000008,C
000009,J
000012,C
000016,C
000021,C
000025,F
000027,D
000028,F
000029,K
000030,C
000031,K
000032,E
000034,F
000039,C
000042,K
000049,C
000050,C
000060,C
000061,L
000062,F
000066,C
000068,F
000078,F
000088,G
000089,G
000090,E
000099,G
000155,D
000156,I
000158,I
000159,F
000301,C
000400,C
000401,C
000402,K
000403,C
000407,D
000409,I
000410,C
000415,L
000417,F
000422,C
000423,C
000426,B
000428,H
000429,G
000488,C
000501,F
000503,I
000506,B
000507,G
000510,C
000513,C
000514,K
000517,K
000518,C
000519,C
000520,G
000525,C
000528,C
000532,S
000533,C
000536,C
000537,D
000539,D
000541,C
000543,D
000547,C
000548,G
000550,C
000552,B
000553,C
000554,F
000555,I
000559,C
000563,J
000564,F
000565,C
000566,C
000571,B
000572,C
000573,C
000581,C
000582,G
000589,C
000591,D
000592,C
000596,C
000597,C
000598,D
000599,C
000600,D
000601,D
000603,B
000607,L
000608,K
000609,S
000612,C
000617,J
000619,C
000620,K
000623,C
000629,C
000630,C
000631,K
000636,C
000650,C
000652,F
000655,B
000656,K
000657,C
000659,C
000661,C
000669,D
000677,C
000679,F
000680,C
000681,I
000682,I
000683,C
000685,D
000686,J
000688,B
000690,D
000697,C
000698,C
000703,C
000707,C
000708,C
000709,C
000712,J
000713,A
000717,C
000718,K
000719,R
000723,C
000726,C
000727,C
000728,J
000729,C
000731,C
000733,C
000735,A
000737,C
000738,C
000739,C
000750,J
000751,C
000755,G
000758,B
000759,F
000761,C
000762,B
000766,C
000767,D
000777,C
000778,C
000783,J
000785,L
000786,C
000788,C
000793,R
000799,C
000800,C
000807,C
000809,C
000810,C
000813,C
000816,C
000818,C
000819,C
000822,C
000823,C
000825,C
000826,N
000828,G
000829,F
000830,C
000831,C
000837,C
000848,C
000850,C
000852,C
000859,C
000860,C
000869,C
000875,D
000877,C
000878,C
000881,C
000882,L
000883,D
000886,G
000887,C
000893,C
000897,K
000898,C
000899,D
000900,G
000903,C
000905,F
000910,C
000911,C
000912,C
000917,I
000919,C
000921,C
000925,C
000926,K
000927,L
000930,C
000931,C
000932,C
000933,C
000935,C
000936,C
000937,B
000938,C
000949,C
000950,F
000951,C
000952,C
000958,D
000959,C
000960,C
000962,C
000963,F
000965,K
000967,C
000969,C
000970,C
000972,C
000973,C
000975,B
000977,C
000980,C
000981,C
000983,B
000987,J
000988,C
000989,C
000990,C
000997,I
000998,A
000999,C
001203,B
001213,G
001221,C
001227,J
001286,D
001389,C
001696,C
001872,G
001914,K
001965,G
002001,C
002004,C
002005,C
002006,C
002007,C
002008,C
002010,L
002011,C
002019,C
002022,C
002025,C
002028,C
002029,C
002030,C
002032,C
002038,C
002041,A
002044,Q
002048,C
002049,C
002050,C
002051,E
002052,C
002053,D
002056,C
002062,E
002063,I
002064,C
002065,I
002069,A
002073,C
002074,C
002075,C
002078,C
002080,C
002081,E
002083,C
002085,C
002088,C
002091,F
002092,C
002093,I
002097,C
002106,C
002107,C
002109,C
002110,C
002120,G
002121,C
002122,C
002123,I
002124,A
002126,C
002127,L
002128,B
002129,C
002130,C
002131,L
002133,K
002138,C
002140,E
002146,K
002152,C
002153,I
002154,C
002155,B
002156,C
002157,A
002161,C
002167,C
002168,C
002172,Q
002174,I
002176,C
002179,C
002180,C
002181,L
002182,C
002183,L
002185,C
002186,H
002190,C
002191,C
002192,B
002194,C
002195,I
002200,E
002202,C
002203,C
002204,C
002212,I
002216,C
002217,C
002218,C
002219,Q
002221,F
002223,C
002225,C
002226,C
002230,I
002232,I
002233,C
002236,C
002237,C
002238,I
002240,C
002241,C
002242,C
002244,K
002249,C
002250,C
002251,F
002252,C
002254,C
002258,C
002261,I
002262,C
002265,C
002266,N
002267,D
002268,I
002269,C
002271,C
002273,C
002274,C
002275,C
002276,C
002277,F
002281,C
002283,C
002285,K
002287,C
002292,C
002293,C
002294,C
002299,C
002302,C
002303,C
002305,K
002306,H
002309,C
002310,D
002311,C
002312,C
002314,K
002315,I
002317,C
002318,C
002320,G
002322,I
002326,C
002327,C
002328,C
002332,C
002335,C
002340,C
002342,C
002344,L
002345,C
002353,C
002354,I
002358,C
002362,C
002366,C
002368,I
002371,C
002372,C
002373,I
002375,E
002378,C
002382,C
002383,C
002384,C
002385,C
002386,C
002387,C
002390,F
002392,C
002393,C
002396,C
002399,C
002400,L
002402,C
002405,I
002407,C
002408,C
002409,C
002410,I
002414,C
002416,F
002419,F
002422,C
002423,J
002424,C
002426,C
002428,C
002429,C
002430,C
002431,E
002432,C
002434,C
002436,C
002437,C
002439,I
002440,C
002444,C
002449,C
002456,C
002458,A
002460,C
002461,C
002463,C
002465,C
002466,C
002468,G
002470,C
002472,C
002475,C
002479,D
002480,C
002482,E
002487,C
002489,C
002490,C
002491,C
002493,C
002497,C
002498,C
002500,J
002506,C
002507,C
002508,C
002511,C
002512,C
002517,I
002518,C
002531,C
002532,C
002534,C
002544,I
002551,C
002557,C
002558,I
002563,C
002568,C
002572,C
002573,N
002574,C
002581,C
002583,C
002585,C
002588,C
002589,F
002595,C
002600,C
002601,C
002602,I
002603,C
002607,P
002608,D
002612,C
002624,I
002625,C
002635,C
002638,C
002640,F
002642,I
002646,C
002648,C
002651,C
002653,C
002657,I
002662,C
002663,E
002670,J
002672,C
002673,J
002678,C
002681,C
002683,B
002690,C
002698,C
002701,C
002705,C
002707,L
002709,C
002714,A
002727,F
002738,C
002739,R
002745,C
002756,C
002761,E
002773,C
002791,C
002797,J
002807,J
002812,C
002815,C
002818,L
002821,C
002831,C
002837,C
002839,J
002841,C
002850,C
002851,C
002865,C
002867,F
002901,C
002916,C
002920,C
002925,C
002926,J
002936,J
002939,J
002941,E
002945,J
002946,C
002948,J
002957,C
002958,J
002966,J
002984,C
002985,C
003021,C
003022,C
003031,C
003035,M
300001,C
300002,I
300003,C
300009,C
300010,I
300012,M
300014,C
300017,I
300024,C
300026,C
300027,R
300032,C
300033,J
300037,C
300039,C
300043,I
300054,C
300055,C
300058,L
300059,J
300070,N
300072,C
300073,C
300085,I
300088,C
300100,C
300113,I
300115,C
300118,C
300122,C
300133,R
300134,C
300136,C
300140,N
300142,C
300144,R
300146,C
300147,C
300159,C
300166,I
300168,I
300180,C
300182,R
