factor,IC_IR,IC_mean,IC_t,IC_days,FM_λ_annual,FM_t,FM_days,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha141,47.79072632182564,0.0991562802755614,106.86331274969062,5,36.680488175469634,5.001226434811736,5,0.0,True,True,False,False
alpha105,1.4090626191446387,0.07915711160222115,6.301519601922617,20,37.653086488892356,6.978253180481092,20,0.0,True,True,False,False
alpha046,-0.5176206161710758,-0.17159977277624341,-1.1574348843138524,5,-1.3965213825240859,-0.4448794650970198,5,1.0,True,False,True,False
alpha041,0.2596783622117588,0.03380051983603371,16.17527325852048,3880,0.2418271958444798,5.411236430020274,3881,0.07060036073177016,True,True,False,False
alpha087,0.24447540190902417,0.03598198941750605,15.198821617665214,3865,0.12773427006690244,2.941757775214611,3866,1.0,True,True,True,True
alpha035,0.2363200555601694,0.030338117674798448,14.725982340972392,3883,0.23215256433752368,5.309272043614337,3884,0.0607621009268795,True,True,False,False
alpha086,0.23413843103194548,0.034060770086381434,14.574999791891653,3875,0.13153910312012532,3.1242881758941543,3876,1.0,True,True,True,True
alpha091,0.23293397939114804,0.030289027035714258,14.503764740684353,3877,0.15384705461857445,3.199291766981131,3878,0.00025786487880350697,True,True,False,False
alpha056,0.23048276428300785,0.03459921348569394,14.356689798500273,3880,0.28863754320074375,5.106248757117917,3881,1.0,True,True,True,True
alpha093,0.2286360747738954,0.03100100980088724,14.206747324789836,3861,0.1750284225251924,3.02164980322236,3862,0.0,True,True,False,False
alpha061,0.22800564657351857,0.028151475996044926,14.204221100369196,3881,0.14182407294173782,3.84076915600113,3882,0.002575991756826378,True,True,False,False
alpha094,0.2270159753011972,0.03670059527382404,14.144388792339686,3882,0.04241467863715694,0.6509827009408974,3883,0.12197632527020072,True,False,False,False
alpha092,0.22571399838319048,0.03006047908890056,14.043329302376174,3871,0.1387480195662701,2.460477912233611,3872,0.0,True,True,False,False
alpha085,0.2248623443149745,0.031942947290934276,14.006595828266247,3880,0.16112339245604218,3.969184172074183,3881,1.0,True,True,True,True
alpha171,0.22365744656329686,0.03210381568766348,13.940516793558492,3885,-0.019455542249385616,-1.597220023365915,3886,0.9858466289243438,True,False,True,False
alpha003,-0.22252406563985921,-0.03959607883336399,-13.859158957927914,3879,-0.03417989675553151,-3.4432113220436125,3880,1.0,True,True,True,True
alpha045,-0.22152372213934213,-0.08349598935023995,-5.195191787485584,550,-20.276026849091036,-1.6497262959997419,532,1.0,True,False,True,False
alpha037,0.22072194845977275,0.028328059441922078,13.752235056919027,3882,0.17841576248409885,4.029832046277748,3883,0.06515580736543909,True,True,False,False
alpha150,0.21691197480809093,0.03164628634185541,13.513111169807683,3881,0.17741158058947779,3.2464040185189296,3882,0.002575991756826378,True,True,False,False
alpha057,0.21538376648876031,0.03347233715394262,13.417907348404968,3881,-0.035952463441277546,-0.798380114060894,3882,0.0,True,False,False,False
alpha001,0.21517464746204856,0.024978879896343842,13.401425298956342,3879,0.07613547119377465,3.7532782026300655,3880,1.0,True,True,True,True
alpha033,0.21497644687968073,0.026843832931955074,13.397707476181862,3884,0.24164795881390705,5.7889118476559895,3885,0.06126126126126126,True,True,False,False
alpha116,0.21212632513900015,0.022112662305305043,13.213273702223457,3880,0.035533747441654606,1.9272189291394326,3881,1.0,True,False,True,False
alpha039,0.20839161405013137,0.027089955470029344,12.982312525652423,3881,0.1438398314636297,3.1676318124441853,3882,0.07212776919113859,True,True,False,False
alpha142,0.20820508474135405,0.029872420575897306,12.969021025935579,3880,0.10265273425470123,2.441906628158757,3881,1.0,True,True,True,True
alpha010,-0.20521152508148724,-0.03142837797598709,-12.790786783933912,3885,-0.06979486149122277,-1.2261354792272487,3886,0.1423057128152342,True,False,False,False
alpha011,-0.20286269457741943,-0.03207223064266111,-12.636245433778978,3880,-7.489327929313907e-10,-4.933707183314594,3881,1.0,True,True,True,True
alpha151,-0.20026275585957917,-0.030997469609446427,-12.47590358022782,3881,-0.17090163626648838,-2.922859282345395,3882,0.005151983513652756,True,True,False,False
alpha014,-0.19920295616066155,-0.03772979884893751,-12.408281623311433,3880,-0.022159537583533943,-1.619372742044657,3881,1.0,True,False,True,False
