factor,IC_IR,IC_mean,IC_t,IC_days,FM_λ_annual,FM_t,FM_days,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha105,1.1030300752069182,0.07745218472723917,14.466103817251156,172,31.090816260097302,16.04704439839109,172,0.0,True,True,False,False
alpha141,0.7931344037426051,0.06271487995039328,7.094009768248915,80,25.43472766415005,6.104690157216405,80,0.0,True,True,False,False
alpha041,0.3050364524422783,0.03575632941786982,19.000612642650573,3880,0.2747233993678657,5.497812665243575,3881,0.026797217212058747,True,True,False,False
alpha116,0.29829877185416454,0.026050142981395973,18.580924903891283,3880,0.09653394952182857,5.419953451120933,3881,1.0,True,True,True,True
alpha142,0.296604861180553,0.03604839591315747,18.475411807660155,3880,0.26967606758359264,6.8941544973849345,3881,1.0,True,True,True,True
alpha001,0.273071773618837,0.026920786866436182,17.007352021114915,3879,0.11281581655549305,5.934578218824646,3880,1.0,True,True,True,True
alpha009,-0.27038898576591236,-0.039869219263695736,-16.8402636516068,3879,20086.715393566876,0.7504709527452202,213,1.0,True,False,True,False
alpha035,0.2682164779782495,0.0309752658878026,16.713567153253596,3883,0.23357201348268244,4.724371825954544,3884,0.023944387229660143,True,True,False,False
alpha144,0.2584186061489001,0.03254815227627948,16.09680349930658,3880,0.2095707038174181,5.006395337488786,3881,1.0,True,True,True,True
alpha003,-0.2559283983203162,-0.040769567660232056,-15.93963486138019,3879,-0.046151851634879386,-3.4677585929207906,3880,0.9994845360824742,True,True,True,True
alpha039,0.25340262400400776,0.02971846605641732,15.786393683044404,3881,0.1697501558636173,3.469806430686215,3882,0.02730551262235961,True,True,False,False
alpha148,0.2522449137319125,0.03160764041273301,15.712246384080332,3880,0.20956786597219576,5.0770301969946345,3881,1.0,True,True,True,True
alpha011,-0.24742643580842605,-0.03413881881822648,-15.41210509992134,3880,-2.050986518474716e-09,-6.694012038470671,3881,1.0,True,True,True,True
alpha051,0.24561656577321572,0.03869759946871792,15.299368936104724,3880,0.243088882464335,3.5409778801155816,3881,0.9987116722494203,True,True,True,True
alpha037,0.24194704804119724,0.02820184640223083,15.074679700902683,3882,0.1516518180542053,3.0543428829364028,3883,0.02935874323976307,True,True,False,False
alpha110,0.2284657022720665,0.02088695207685556,14.231047719859346,3880,0.043109267123792316,2.5249981329130904,3881,1.0,True,True,True,True
alpha014,-0.22249408898706,-0.03781760722233733,-13.859078042230127,3880,-0.0037501107397514733,-0.2023408812196489,3881,0.999742334449884,True,False,True,False
alpha045,-0.2204189201071892,-0.07772985597334717,-8.011249899407138,1321,-8.14836748456997,-1.1104185681614718,1194,0.9081712062256809,True,False,True,False
alpha033,0.21812237990852942,0.02493991123167471,13.593767514720705,3884,0.18449316053156492,3.799401584838689,3885,0.028056628056628057,True,True,False,False
alpha050,0.21727523446782432,0.03364862835546015,13.535741401125371,3881,0.12054702239494573,1.786187554093277,3882,0.9989696032972695,True,False,True,False
alpha049,0.21726072011621833,0.03357713800385478,13.536580809127235,3882,0.11605191299596634,1.7355399777259677,3883,0.9984548029873809,True,False,True,False
alpha075,0.21297606695490554,0.018996230497350677,13.26620381913575,3880,0.05614023613711381,3.3089559142444678,3881,1.0,True,True,True,True
alpha023,0.21297606695490554,0.018996230497350677,13.26620381913575,3880,0.05614023613711381,3.3089559142444678,3881,1.0,True,True,True,True
alpha061,0.2112476037523412,0.024869115464830914,13.160234036808882,3881,0.07890654820326257,1.9863723312977104,3882,0.0036063884595569293,True,False,False,False
alpha048,0.21029112213413578,0.03197184420543251,13.104022608957498,3883,0.05082498504874831,0.7769124332376579,3884,0.9979402677651905,True,False,True,False
alpha094,0.20539549995608905,0.029463385475237195,12.800606137452654,3884,-0.1535468957900087,-2.3234587429436426,3885,0.0941842511580031,True,True,False,False
alpha169,-0.20488952556622123,-0.01701499559228312,-12.755915716005955,3876,-0.11908898041790758,-7.425599731316197,3877,1.0,True,True,True,True
alpha043,-0.203502809262384,-0.0713744271507676,-7.3964243152971045,1321,25.194445157096663,0.8200829961979105,1194,0.911284046692607,True,False,True,False
alpha071,0.19916632678783244,0.03401038296491879,12.405999992644354,3880,-0.09991904883887417,-1.7309441991763388,3881,0.9992270033496522,True,False,True,False
alpha070,0.19762366246957205,0.03382594906195643,12.30990797834829,3880,-0.12828843568371412,-2.1664013572817624,3881,0.9992270033496522,True,True,True,True
alpha108,0.19394635034536364,0.019600506898025324,12.080849507864576,3880,0.11942203684043666,4.45391172990322,3881,1.0,True,True,True,True
alpha008,0.19353200032616125,0.0316291889101808,12.056593176270896,3881,0.004044126691676274,0.07680345232280457,3882,1.0,True,False,True,False
alpha068,0.19352308281592878,0.03293190115985258,12.054484323288724,3880,-0.18882832121262128,-3.1146660645640103,3881,0.999742334449884,True,True,True,True
alpha082,0.19161055469190671,0.03613399076655257,11.935353623460005,3880,-0.19380363626536157,-3.11216921540266,3881,0.9425405823241433,True,True,True,True
alpha140,0.18654384514903935,0.02372187743761372,11.621247373606648,3881,-0.03216620025018346,-0.6700748951187948,3882,0.0036063884595569293,True,False,False,False
alpha166,0.18554067714840594,0.017565150162508196,11.551304211648423,3876,0.08248328760696452,4.345858926824336,3877,1.0,True,True,True,True
alpha171,0.17939715781110976,0.024261936789064274,11.18178325654213,3885,-0.01974887090446866,-2.0538601447210483,3886,0.9791559444158517,True,True,True,True
alpha162,0.17887278095000467,0.016606384154228437,11.136177466272692,3876,0.06906929069615575,3.6054680368468297,3877,1.0,True,True,True,True
alpha056,0.17802710420338136,0.024236624888542984,11.089245300940972,3880,0.22025582515566022,3.6694799778905995,3881,0.9994846688997681,True,True,True,True
alpha163,-0.1749638659437917,-0.016660329380179705,-10.892818074315059,3876,-0.09198308562843498,-4.710407808236775,3877,1.0,True,True,True,True
alpha102,0.1742213626781724,0.023126468280844848,10.859177145815957,3885,0.2842434760509525,4.714054008240284,3886,0.0,True,True,False,False
alpha069,0.17412851355944453,0.02950617937966485,10.847801112151275,3881,-0.20031095674500465,-3.4578262590476023,3882,0.9987120041215868,True,True,True,True
alpha183,0.17066353633232903,0.014805313770052382,10.620977503006765,3873,0.07497312066221433,4.315206350604857,3874,1.0,True,True,True,True
alpha087,0.17041919313847775,0.026749482790877542,10.594811979088313,3865,-0.0029249752997448086,-0.05753376528875276,3866,0.9249870667356441,True,False,True,False
alpha167,-0.16987088700097214,-0.01654874599936069,-10.575741786698773,3876,-0.0977871449091426,-5.119789486548531,3877,1.0,True,True,True,True
alpha160,0.16939448926792428,0.015495738327254595,10.546082440701161,3876,0.044866333152080065,2.4379792401661953,3877,1.0,True,True,True,True
alpha073,0.16842671592061573,0.01721049166268925,10.491240513252887,3880,0.004581791213787725,0.21079439038080977,3881,1.0,True,False,True,False
alpha021,0.16842671592061573,0.01721049166268925,10.491240513252887,3880,0.004581791213787725,0.21079439038080977,3881,1.0,True,False,True,False
alpha146,0.16790364495721224,0.01831603693726582,10.458658608104589,3880,0.19671220328359723,5.392228081832091,3881,1.0,True,True,True,True
alpha067,0.16717850122154965,0.02826528490575743,10.414831519593745,3881,-0.269911762538887,-4.519673686548042,3882,0.9984544049459042,True,True,True,True
alpha010,-0.16556452924867882,-0.024297954861474836,-10.319598725078063,3885,0.1624422380393457,2.534432514365164,3886,0.1186309830159547,True,True,False,False
alpha072,0.16551990132605307,0.01670271321666209,10.31017606114207,3880,-0.01754174637818775,-0.8729135798804909,3881,1.0,True,False,True,False
alpha016,0.16551990132605307,0.01670271321666209,10.31017606114207,3880,-0.01754174637818775,-0.8729135798804909,3881,1.0,True,False,True,False
alpha176,-0.16513350135883037,-0.02315702157343202,-10.291408095332155,3884,0.08406416032035745,3.8237763878221527,3885,0.9899613899613899,True,True,True,True
alpha066,0.16507636955671381,0.02767310993265053,10.285198424208843,3882,-0.26352734836027886,-4.567153214711024,3883,0.9981972701519444,True,True,True,True
alpha058,0.1613207127787031,0.02223552027657007,10.049904933556101,3881,-0.1372847248624248,-3.0985363989563846,3882,0.0,True,True,False,False
alpha086,0.15941848134522704,0.024652653739293807,9.923720434059582,3875,-0.006503360411755809,-0.13031672773267688,3876,0.9290505675954592,True,False,True,False
alpha132,0.15799784537830322,0.021233854671407475,9.842898028456187,3881,0.07019029722337254,1.304247686254535,3882,0.004121586810922205,True,False,False,False
alpha083,0.157454137905514,0.030619695242679764,9.801441041057606,3875,-0.1896776942354297,-2.97642191453019,3876,0.9429824561403509,True,True,True,True
alpha161,-0.1567860771126516,-0.015076962044117561,-9.761113846914547,3876,-0.0815359161711799,-4.230564186162661,3877,1.0,True,True,True,True
alpha044,-0.15583220055813596,-0.05493117270490138,-5.663809170458963,1321,0.856513936013476,0.019031799240787628,1194,0.9066147859922179,True,False,True,False
alpha015,0.15527354008650648,0.01956025937891952,9.676918095285721,3884,45.11056310306808,33.4402245256915,3885,0.8908622908622909,True,True,True,True
alpha042,0.1530015338117444,0.018748832658426345,9.530411380057835,3880,0.06790753453459275,1.4427351183918118,3881,0.02576655501159495,True,False,False,False
alpha093,0.1517319449743572,0.024983030069984577,9.429380469121961,3862,0.10241951709624082,1.847140688517928,3863,0.0,True,False,False,False
alpha134,0.15162498389493792,0.01988789406636787,9.44588359082225,3881,-0.06197002812112587,-1.272362099546467,3882,0.00463678516228748,True,False,False,False
alpha065,0.14978615948096954,0.02477835727134646,9.330126851205549,3880,-0.35500190930118236,-5.679290191821603,3881,0.9992270033496522,True,True,True,True
alpha170,0.14926910225511353,0.012112095554727639,9.293125561729608,3876,0.0010261040670172896,0.06276322451125046,3877,1.0,True,False,True,False
alpha060,0.14911616007798698,0.019018037203060358,9.289589706291839,3881,-0.17766627878589877,-4.417257512387741,3882,0.00025759917568263783,True,True,False,False
alpha147,0.148540693194402,0.019436741759482644,9.252547197098377,3880,-0.12251819711310094,-2.80372009652096,3881,1.0,True,True,True,True
alpha085,0.14850118505751525,0.022370412561664478,9.250086249237203,3880,0.007874689482277708,0.16185163364456318,3881,0.9360989435712446,True,False,True,False
alpha057,0.14644628593333692,0.020155106188867858,9.123262761189011,3881,-0.26927559042732896,-5.891733497743913,3882,0.0,True,True,False,False
alpha092,0.14499698250969142,0.023621750203591092,9.021329593291718,3871,0.07271250809954886,1.4103325081363456,3872,0.0,True,False,False,False
alpha047,0.14429483576228916,0.022236261645275614,8.992706075139717,3884,-0.09658244762186759,-1.4708923172957227,3885,0.9974259974259975,True,False,True,False
alpha106,0.14114347581559294,0.013494567498418783,8.791777145116376,3880,0.02166640506898881,1.024361621139094,3881,1.0,True,False,True,False
alpha101,-0.14048782566313106,-0.014280790013822226,-8.68528416620991,3822,0.036071898937364504,0.3488768727650062,3823,0.0,True,False,False,False
alpha137,-0.13804625535861428,-0.01404673379273692,-8.515339370426084,3805,0.03450146692227487,0.3676482055241466,3806,0.0,True,False,False,False
alpha184,-0.1376776164287693,-0.012134435205876665,-8.569256582561604,3874,-0.021378790734217754,-1.1324862090330312,3875,1.0,True,False,True,False
alpha168,0.13708050865143917,0.011550917637761055,8.534293833873082,3876,-0.012788023870408092,-0.7964972719383607,3877,1.0,True,False,True,False
alpha084,0.13705511794713124,0.027055851664008618,8.520596645717683,3865,-0.14059972933176418,-2.173113731434759,3866,0.9418003103983446,True,True,True,True
alpha091,0.1364871769907386,0.02185925117257371,8.498450549671272,3877,0.07358953834345708,1.5952711474928385,3878,0.0,True,False,False,False
alpha096,0.13300117226074465,0.024237838839437493,8.289932233216076,3885,0.06145232730344437,0.9085383508044043,3886,0.9876479670612455,True,False,True,False
alpha143,0.13074089397986954,0.01679694447994019,8.143804004983377,3880,-0.2817967192264826,-6.475978888655619,3881,1.0,True,True,True,True
alpha059,0.1298767180362872,0.017335318472613867,8.091017246728102,3881,-0.15258130128416453,-3.446972173125121,3882,0.0,True,True,False,False
alpha055,0.12898706963311615,0.017658161291712066,8.035594221859474,3881,0.08096643847415386,1.3638982779921773,3882,0.9989696032972695,True,False,True,False
alpha126,0.12626101472752357,0.011315740400094459,7.868806864744675,3884,0.33626564521209545,7.699863561599918,3885,0.0036036036036036037,True,True,False,False
alpha053,0.125990396386897,0.016708953742125766,7.850930586181971,3883,0.0821675578328329,1.4332396111258658,3884,0.997167868177137,True,False,True,False
alpha095,0.12032027884881281,0.018296663492209,7.486977087766164,3872,-0.08914574777464798,-1.3461590598906295,3873,0.057385486361296964,True,False,False,False
alpha064,0.11885000771365205,0.019603979888260892,7.404078858200386,3881,-0.4490255388938949,-7.253433837012431,3882,0.9984544049459042,True,True,True,True
alpha100,-0.11774471079255315,-0.01874111015208495,-7.3390005268245755,3885,-0.3115577637572839,-6.157086605938553,3886,0.9050437467833248,True,True,True,True
alpha088,0.11729483590152527,0.02243003575575754,7.303428678201464,3877,-0.10456089821343884,-1.9506673041407263,3878,0.0,True,False,False,False
alpha103,0.11693758759945226,0.018958863362060915,7.288692725314783,3885,0.30006046471855397,5.833971281193807,3886,0.5,True,True,False,False
alpha063,0.11561642550275548,0.01895185683418824,7.203562088182818,3882,-0.4441280369613841,-7.369452386720353,3883,0.9976822044810714,True,True,True,True
alpha036,0.11540403121921092,0.014157180458735043,7.191254765842051,3883,0.06707054975286272,1.3674329389116446,3884,0.023429454170957775,True,False,False,False
alpha062,0.11477322062394042,0.018833292070669066,7.151946609518068,3883,-0.4392291234434384,-7.512760998804129,3884,0.998712667353244,True,True,True,True
alpha079,0.11471045265891075,0.01992155781278073,7.146194213068419,3881,0.20382442662648517,3.4716669765853325,3882,1.0,True,True,True,True
alpha114,0.1140425364261429,0.011613379533544455,7.1036692240201855,3880,0.03739331310878773,1.9001635075909669,3881,1.0,True,False,True,False
alpha054,0.10929873588012345,0.014764572209668564,6.809934026663017,3882,0.032615663615511374,0.5545788427720678,3883,0.9984548029873809,True,False,True,False
alpha164,0.10885255932500658,0.00980759234423743,6.776891441297949,3876,0.008426713305174631,0.4725126044781684,3877,1.0,True,False,True,False
alpha145,0.10791766232826844,0.013670205898609187,6.72215298461028,3880,-0.17343974696292344,-4.033484055098402,3881,1.0,True,True,True,True
alpha013,-0.10636862303445148,-0.01701148185804563,-6.629931614192017,3885,-0.004167173827630423,-3.181879193539053,3886,1.0,True,True,True,True
alpha131,0.10623454503148126,0.01513319363844775,6.607071322645249,3868,-0.15742197362720275,-2.691007488398562,3869,0.0,True,True,False,False
alpha152,0.10416280052035108,0.0212588982747341,6.489100034404845,3881,-0.10265831752778794,-1.5584286887536976,3882,0.03735188047398248,True,False,False,False
alpha080,0.10295174176247326,0.017517107276203807,6.409521116850227,3876,0.20786070428525913,3.6710621435564206,3877,1.0,True,True,True,True
alpha165,-0.10218305823226857,-0.009384790467660695,-6.361664779165439,3876,-0.038051716656626426,-2.111143915966315,3877,1.0,True,True,True,True
alpha135,-0.10213774188433354,-0.010755144430874615,-6.280433054929368,3781,-0.4073181433919778,-5.161077560460532,3782,0.0,True,True,False,False
alpha099,-0.10006936565664165,-0.010581190929689389,-6.167066436095872,3798,-0.34419895825116326,-3.697640684519272,3799,0.0,True,True,False,False
alpha150,0.0981202262147081,0.0205229222839725,6.112661719202473,3881,-0.16071527111118922,-2.3776022437041577,3882,0.033487892838742914,True,True,False,False
alpha149,0.09717913180405353,0.012844587784634086,6.0532537195937595,3880,-0.2848117514007248,-6.326326249186978,3881,1.0,True,True,True,True
