,alpha087,alpha086,alpha056,alpha085,alpha003,alpha001,alpha142,alpha011,alpha108,alpha176,alpha054,alpha053,alpha055,alpha051,alpha018,alpha052,alpha043,alpha169,alpha120,alpha072,alpha016,alpha113,alpha103,alpha173,alpha100,alpha111,alpha112,alpha013,alpha002
alpha087,1.0,0.9496137755939364,0.6055694068173945,0.8288380295221898,-0.45670669553611953,0.33636906815166495,0.41401591706624197,-0.40866336457276187,0.16477695610257442,-0.19172152751163818,0.5467294501423157,0.5143527283088595,0.5794170168811775,0.579185872972771,0.40634014921672834,0.40634014921672834,0.11228729688423975,-0.25880736937137633,0.2083416588622679,0.3158587076274893,0.3158587076274893,0.025207494761236432,0.11767886727819875,0.08862312123967976,-0.11773937790938085,-0.04612930970798781,0.01615721627348316,-0.09712181631151344,-0.02418739042928234
alpha086,0.9496137755939364,1.0,0.5909909849305999,0.9475516440643074,-0.45517462172851053,0.28336050657133055,0.33483083094365695,-0.41355188453973857,0.2072805603604673,-0.2361382136184529,0.531313901491072,0.5129744758642346,0.5637501738830079,0.5365720059863248,0.3890301218010278,0.3890301218010278,0.13271763910709028,-0.1955312664846486,0.26356243379798905,0.24355393023796737,0.24355393023796737,0.009960370436215714,0.09292682084388587,0.12881427061174444,-0.10375712509065192,0.001973580363221765,0.018695231183003015,-0.08023724706652377,-0.02437492334876237
alpha056,0.6055694068173945,0.5909909849305999,1.0,0.5478109427050283,-0.14963740081866875,0.05586827055604824,0.20794210283190293,-0.05365006137944452,-0.031852442724601616,0.060542841346018006,0.8272567260757591,0.7633120561499298,0.8978172272129223,0.3838121399979666,0.6205362469179782,0.6205362469179782,0.052002066101758886,-0.06018064704419232,0.050299037760866014,0.1418983115862963,0.1418983115862963,0.06627407836169986,0.03632539087081379,-0.2877700272242312,0.01783049959188152,-0.0921397184561688,-0.02244106655653462,0.02293243966259718,-0.08720373370332499
alpha085,0.8288380295221898,0.9475516440643074,0.5478109427050283,1.0,-0.39370982249204256,0.19738657549639357,0.22381114243243516,-0.3558748376605595,0.2188429392554314,-0.28772188293622675,0.5219984305134097,0.5317346989056144,0.5384880918799847,0.4452893580210047,0.413844019551954,0.413844019551954,0.15118633677124357,-0.11024885351898195,0.33028336675627,0.14992822610757653,0.14992822610757653,-0.00508454588776778,0.06965528184818356,0.14603986079475742,-0.08827134537049422,0.0409698789602627,0.01151113434998025,-0.06238265875960514,0.013833943495896565
alpha003,-0.45670669553611953,-0.45517462172851053,-0.14963740081866875,-0.39370982249204256,1.0,-0.4975452626513176,-0.5399802218138634,0.637151390958488,-0.19338825285279196,0.32982613203647043,-0.0560183621923881,-0.031681429874676086,-0.1043893199093221,-0.7161685828809993,0.015623439095250114,0.015623439095250114,-0.09616920208540489,0.28662713336536366,-0.1352553384204585,-0.3907128529057334,-0.3907128529057334,0.00037682498326843753,0.09942266610306065,-0.10285698769660703,-0.05937315862083108,-0.12643716881458145,0.0774552128869451,-0.09228103953599259,-0.023617470638444143
alpha001,0.33636906815166495,0.28336050657133055,0.05586827055604824,0.19738657549639357,-0.4975452626513176,1.0,0.6290900444519061,-0.5251893825529879,0.266506708273319,-0.15425104693881986,-0.023002722578581342,-0.036430191505193416,0.009262240090898714,0.5252130355917287,-0.04982723820801592,-0.04982723820801592,0.02220447250518925,-0.4239024442409337,0.11347905294359018,0.6171817506988074,0.6171817506988074,0.006215571225509946,0.18980398112525645,0.29302334646734424,-0.21532939938612142,-0.00017293580744297022,0.051163176335860074,-0.19914612234423287,-0.009032910287856286
alpha142,0.41401591706624197,0.33483083094365695,0.20794210283190293,0.22381114243243516,-0.5399802218138634,0.6290900444519061,1.0,-0.444527938102429,0.15030543644892905,-0.0762080351133758,0.13607161375456545,0.14528279335616448,0.16869948136322524,0.5979607476125761,0.10178252044726635,0.10178252044726635,0.029101055122162905,-0.3946295231334643,0.0590221030606039,0.5538781097116608,0.5538781097116608,0.12972530093242646,0.14729439327590704,0.1567430795428263,-0.156560229511049,-0.060207007038023924,-0.03288098451543071,-0.1403210545109202,-0.04961999829605737
alpha011,-0.40866336457276187,-0.41355188453973857,-0.05365006137944452,-0.3558748376605595,0.637151390958488,-0.5251893825529879,-0.444527938102429,1.0,-0.2161917115773633,0.38454498341163423,0.06962786937307415,0.09490663499552894,0.0016208805601607187,-0.5231056826794207,0.15778366861097962,0.15778366861097962,-0.0731361816921421,0.22755467529557727,-0.09204381522567386,-0.3329724279805224,-0.3329724279805224,0.03273977057761613,0.043364419961375425,-0.2563160579858389,0.01074098728761165,-0.06713616509071393,0.08808515927018888,-0.018034609384656338,-0.02111381907088785
alpha108,0.16477695610257442,0.2072805603604673,-0.031852442724601616,0.2188429392554314,-0.19338825285279196,0.266506708273319,0.15030543644892905,-0.2161917115773633,1.0,-0.16844525376867694,-0.08984851937931443,-0.07003727485258407,-0.06947183533716446,0.0967891481700109,-0.12774816505998082,-0.12774816505998082,0.08942554873501973,-0.08845880982745784,0.14759229858726272,0.18720639262904212,0.18720639262904212,0.04589037061540985,0.06979265576471388,0.1433070011978765,-0.08903421666338462,-0.057687825729640055,0.19489444400766517,-0.07201081167561348,0.05270834930214373
alpha176,-0.19172152751163818,-0.2361382136184529,0.060542841346018006,-0.28772188293622675,0.32982613203647043,-0.15425104693881986,-0.0762080351133758,0.38454498341163423,-0.16844525376867694,1.0,0.05237844714154661,0.011382165792399429,0.017511093566523687,-0.21871249864559358,-0.025782945994145556,-0.025782945994145556,-0.10962965615884582,0.009874677156490675,-0.15146317899895112,-0.07453155177736444,-0.07453155177736444,0.1551901047899976,0.06156055589058907,-0.14256096342615518,0.009760217256880557,-0.16306133297787584,0.14768754829132463,-0.0429976134884917,-0.695047223377646
alpha054,0.5467294501423157,0.531313901491072,0.8272567260757591,0.5219984305134097,-0.0560183621923881,-0.023002722578581342,0.13607161375456545,0.06962786937307415,-0.08984851937931443,0.05237844714154661,1.0,0.8325625112213417,0.8763649143315173,0.2944024921342175,0.6801474623769583,0.6801474623769583,0.03697392709954687,-0.04972973377714538,0.10105896184116737,0.1066952555379957,0.1066952555379957,0.06388498502870865,0.03847364116593914,-0.27238400878472463,0.01468118232417507,-0.10224461957854039,-0.03349465521971875,0.01867137048760901,-0.04446787156679383
alpha053,0.5143527283088595,0.5129744758642346,0.7633120561499298,0.5317346989056144,-0.031681429874676086,-0.036430191505193416,0.14528279335616448,0.09490663499552894,-0.07003727485258407,0.011382165792399429,0.8325625112213417,1.0,0.7852055384903333,0.2766380980938748,0.749465160698685,0.749465160698685,0.05251551433290946,-0.04089507097661183,0.14678939926643764,0.12832872618431598,0.12832872618431598,0.0727976029780291,0.03536602893578907,-0.23839186572186805,0.015011024736513095,-0.0754061027606811,-0.03402825344757953,0.020085345297113425,-0.05163640018752561
alpha055,0.5794170168811775,0.5637501738830079,0.8978172272129223,0.5384880918799847,-0.1043893199093221,0.009262240090898714,0.16869948136322524,0.0016208805601607187,-0.06947183533716446,0.017511093566523687,0.8763649143315173,0.7852055384903333,1.0,0.34609640115131085,0.6382461104763665,0.6382461104763665,0.048439213196283075,-0.04593613407024044,0.10301442521158857,0.12882625232566164,0.12882625232566164,0.09858884535524765,0.05400532782277775,-0.2641357594832594,-0.0008070289977881205,-0.10286135030449857,-0.015743551204289646,0.0051250410981250345,-0.0379809894224506
alpha051,0.579185872972771,0.5365720059863248,0.3838121399979666,0.4452893580210047,-0.7161685828809993,0.5252130355917287,0.5979607476125761,-0.5231056826794207,0.0967891481700109,-0.21871249864559358,0.2944024921342175,0.2766380980938748,0.34609640115131085,1.0,0.17469302036227458,0.17469302036227458,0.08961521829715426,-0.32007387845343815,0.1340644643328672,0.4929054531444918,0.4929054531444918,0.013974098232927189,0.24316096099823917,0.37673739664185213,-0.2703720225049105,0.044031690278374974,-0.05654625480714983,-0.24467292094384532,-0.017036734046484623
alpha018,0.40634014921672834,0.3890301218010278,0.6205362469179782,0.413844019551954,0.015623439095250114,-0.04982723820801592,0.10178252044726635,0.15778366861097962,-0.12774816505998082,-0.025782945994145556,0.6801474623769583,0.749465160698685,0.6382461104763665,0.17469302036227458,1.0,1.0,0.001265036805258987,-0.022623955018727653,0.37349243958576656,0.0772793968922128,0.0772793968922128,0.08933693232351392,0.044352204702314844,-0.2795650862846055,0.006909234793564589,-0.12945602967056166,-0.047290675399894296,0.010963984099607514,0.07844822782357429
alpha052,0.40634014921672834,0.3890301218010278,0.6205362469179782,0.413844019551954,0.015623439095250114,-0.04982723820801592,0.10178252044726635,0.15778366861097962,-0.12774816505998082,-0.025782945994145556,0.6801474623769583,0.749465160698685,0.6382461104763665,0.17469302036227458,1.0,1.0,0.001265036805258987,-0.022623955018727653,0.37349243958576656,0.0772793968922128,0.0772793968922128,0.08933693232351392,0.044352204702314844,-0.2795650862846055,0.006909234793564589,-0.12945602967056166,-0.047290675399894296,0.010963984099607514,0.07844822782357429
alpha043,0.11228729688423975,0.13271763910709028,0.052002066101758886,0.15118633677124357,-0.09616920208540489,0.02220447250518925,0.029101055122162905,-0.0731361816921421,0.08942554873501973,-0.10962965615884582,0.03697392709954687,0.05251551433290946,0.048439213196283075,0.08961521829715426,0.001265036805258987,0.001265036805258987,1.0,-0.06605863112388427,0.040242033028770906,0.07624490920373182,0.07624490920373182,-0.09099072440729097,0.12104234439107901,0.10302130698298263,-0.1316147211412555,0.0838312685604158,-0.08721521976376206,-0.12420175545894346,0.028357407751602934
alpha169,-0.25880736937137633,-0.1955312664846486,-0.06018064704419232,-0.11024885351898195,0.28662713336536366,-0.4239024442409337,-0.3946295231334643,0.22755467529557727,-0.08845880982745784,0.009874677156490675,-0.04972973377714538,-0.04089507097661183,-0.04593613407024044,-0.32007387845343815,-0.022623955018727653,-0.022623955018727653,-0.06605863112388427,1.0,-0.0317767882677701,-0.5087604508418377,-0.5087604508418377,-0.07050083539540865,-0.14939190965567695,-0.15894150612628136,0.15139109238292892,0.03870017215940517,-0.17279498748188693,0.14705395010519784,0.08367309946464287
alpha120,0.2083416588622679,0.26356243379798905,0.050299037760866014,0.33028336675627,-0.1352553384204585,0.11347905294359018,0.0590221030606039,-0.09204381522567386,0.14759229858726272,-0.15146317899895112,0.10105896184116737,0.14678939926643764,0.10301442521158857,0.1340644643328672,0.37349243958576656,0.37349243958576656,0.040242033028770906,-0.0317767882677701,1.0,0.03749649421095369,0.03749649421095369,0.02867746955199888,0.0791706253223824,0.11124405757702303,-0.0801360095856865,-0.014024505739625381,-0.015135253272513976,-0.06719161048782667,0.11442927796361879
alpha072,0.3158587076274893,0.24355393023796737,0.1418983115862963,0.14992822610757653,-0.3907128529057334,0.6171817506988074,0.5538781097116608,-0.3329724279805224,0.18720639262904212,-0.07453155177736444,0.1066952555379957,0.12832872618431598,0.12882625232566164,0.4929054531444918,0.0772793968922128,0.0772793968922128,0.07624490920373182,-0.5087604508418377,0.03749649421095369,1.0,1.0,0.02899764384683129,0.2531737579266703,0.22450567799577173,-0.2635750807372004,4.101799970875974e-05,0.21179903342263884,-0.24879469344613186,-0.06519807743945664
alpha016,0.3158587076274893,0.24355393023796737,0.1418983115862963,0.14992822610757653,-0.3907128529057334,0.6171817506988074,0.5538781097116608,-0.3329724279805224,0.18720639262904212,-0.07453155177736444,0.1066952555379957,0.12832872618431598,0.12882625232566164,0.4929054531444918,0.0772793968922128,0.0772793968922128,0.07624490920373182,-0.5087604508418377,0.03749649421095369,1.0,1.0,0.02899764384683129,0.2531737579266703,0.22450567799577173,-0.2635750807372004,4.101799970875974e-05,0.21179903342263884,-0.24879469344613186,-0.06519807743945664
alpha113,0.025207494761236432,0.009960370436215714,0.06627407836169986,-0.00508454588776778,0.00037682498326843753,0.006215571225509946,0.12972530093242646,0.03273977057761613,0.04589037061540985,0.1551901047899976,0.06388498502870865,0.0727976029780291,0.09858884535524765,0.013974098232927189,0.08933693232351392,0.08933693232351392,-0.09099072440729097,-0.07050083539540865,0.02867746955199888,0.02899764384683129,0.02899764384683129,1.0,-0.0635339151047859,-0.047087378808010005,0.0759085584424995,-0.4854924019734045,0.21318672072568748,0.06787678867200089,-0.11261199683873324
alpha103,0.11767886727819875,0.09292682084388587,0.03632539087081379,0.06965528184818356,0.09942266610306065,0.18980398112525645,0.14729439327590704,0.043364419961375425,0.06979265576471388,0.06156055589058907,0.03847364116593914,0.03536602893578907,0.05400532782277775,0.24316096099823917,0.044352204702314844,0.044352204702314844,0.12104234439107901,-0.14939190965567695,0.0791706253223824,0.2531737579266703,0.2531737579266703,-0.0635339151047859,1.0,0.5753132087434498,-0.9904076271382978,-0.05336100049571043,-0.0918469394389053,-0.9931968052963045,-0.016087736939403567
alpha173,0.08862312123967976,0.12881427061174444,-0.2877700272242312,0.14603986079475742,-0.10285698769660703,0.29302334646734424,0.1567430795428263,-0.2563160579858389,0.1433070011978765,-0.14256096342615518,-0.27238400878472463,-0.23839186572186805,-0.2641357594832594,0.37673739664185213,-0.2795650862846055,-0.2795650862846055,0.10302130698298263,-0.15894150612628136,0.11124405757702303,0.22450567799577173,0.22450567799577173,-0.047087378808010005,0.5753132087434498,1.0,-0.6460959785643544,0.02232573274239461,0.02540593798343609,-0.6376157874721873,0.03489997842119965
alpha100,-0.11773937790938085,-0.10375712509065192,0.01783049959188152,-0.08827134537049422,-0.05937315862083108,-0.21532939938612142,-0.156560229511049,0.01074098728761165,-0.08903421666338462,0.009760217256880557,0.01468118232417507,0.015011024736513095,-0.0008070289977881205,-0.2703720225049105,0.006909234793564589,0.006909234793564589,-0.1316147211412555,0.15139109238292892,-0.0801360095856865,-0.2635750807372004,-0.2635750807372004,0.0759085584424995,-0.9904076271382978,-0.6460959785643544,1.0,0.02751261254679511,0.09614789126859866,0.995263857296936,-0.02906046338966016
alpha111,-0.04612930970798781,0.001973580363221765,-0.0921397184561688,0.0409698789602627,-0.12643716881458145,-0.00017293580744297022,-0.060207007038023924,-0.06713616509071393,-0.057687825729640055,-0.16306133297787584,-0.10224461957854039,-0.0754061027606811,-0.10286135030449857,0.044031690278374974,-0.12945602967056166,-0.12945602967056166,0.0838312685604158,0.03870017215940517,-0.014024505739625381,4.101799970875974e-05,4.101799970875974e-05,-0.4854924019734045,-0.05336100049571043,0.02232573274239461,0.02751261254679511,1.0,-0.1875587860880409,0.039912733588373925,0.08709109990392168
alpha112,0.01615721627348316,0.018695231183003015,-0.02244106655653462,0.01151113434998025,0.0774552128869451,0.051163176335860074,-0.03288098451543071,0.08808515927018888,0.19489444400766517,0.14768754829132463,-0.03349465521971875,-0.03402825344757953,-0.015743551204289646,-0.05654625480714983,-0.047290675399894296,-0.047290675399894296,-0.08721521976376206,-0.17279498748188693,-0.015135253272513976,0.21179903342263884,0.21179903342263884,0.21318672072568748,-0.0918469394389053,0.02540593798343609,0.09614789126859866,-0.1875587860880409,1.0,0.08483626756350192,-0.13935136294669473
alpha013,-0.09712181631151344,-0.08023724706652377,0.02293243966259718,-0.06238265875960514,-0.09228103953599259,-0.19914612234423287,-0.1403210545109202,-0.018034609384656338,-0.07201081167561348,-0.0429976134884917,0.01867137048760901,0.020085345297113425,0.0051250410981250345,-0.24467292094384532,0.010963984099607514,0.010963984099607514,-0.12420175545894346,0.14705395010519784,-0.06719161048782667,-0.24879469344613186,-0.24879469344613186,0.06787678867200089,-0.9931968052963045,-0.6376157874721873,0.995263857296936,0.039912733588373925,0.08483626756350192,1.0,0.011189497681478538
alpha002,-0.02418739042928234,-0.02437492334876237,-0.08720373370332499,0.013833943495896565,-0.023617470638444143,-0.009032910287856286,-0.04961999829605737,-0.02111381907088785,0.05270834930214373,-0.695047223377646,-0.04446787156679383,-0.05163640018752561,-0.0379809894224506,-0.017036734046484623,0.07844822782357429,0.07844822782357429,0.028357407751602934,0.08367309946464287,0.11442927796361879,-0.06519807743945664,-0.06519807743945664,-0.11261199683873324,-0.016087736939403567,0.03489997842119965,-0.02906046338966016,0.08709109990392168,-0.13935136294669473,0.011189497681478538,1.0
