,fold_1,fold_2,fold_3,fold_4,fold_5,mean
alpha051,11063.167421758175,18510.120612859726,26552.18679535389,33041.22236943245,36441.02543401718,25121.544526684283
market_vol_20d,3942.2051709890366,7009.605565905571,14857.561560630798,27265.046891093254,29980.737763881683,16611.03139050007
market_turnover_20d,3811.450135231018,8158.042995691299,10735.380690097809,18204.19587993622,24713.086396455765,13124.431219482422
alpha087,4234.815761744976,7101.040713191032,9929.09354519844,15978.588445782661,16093.229559898376,10667.353605163098
alpha003,1760.4903216362,5386.81432056427,6793.472266674042,8642.844852924347,11377.973986268044,6792.31914961338
alpha142,1252.6858756542206,4333.024707794189,6290.526121139526,8289.746699810028,9907.250412464142,6014.646763372421
alpha176,2185.534081697464,4599.648937225342,6036.245490312576,6256.3570330142975,6499.8313266038895,5115.523373770714
alpha055,1359.8376100063324,3550.7987098693848,3859.088668346405,6507.435769915581,8427.021302461624,4740.836412119866
alpha011,909.3970811367035,2062.242783308029,3775.7171173095703,6969.944482564926,9079.751978874207,4559.410688638687
alpha144,558.4839215278625,1498.7702767848969,3129.4710521698,5816.740406751633,8222.78305387497,3845.249742221832
alpha001,1041.2694777846336,1870.0795781612396,1989.1769325733185,5557.633476495743,5722.414133429527,3236.1147196888924
alpha162,1164.6367264837027,1757.6162022352219,2282.3268537521362,4118.966731965542,5467.942785739899,2958.2978600353003
alpha116,972.4942560195923,1116.860188961029,2283.8225989341736,4799.582900047302,5281.896462678909,2890.9312813282013
alpha108,573.7791974544525,1005.7515211105347,1727.9494934082031,4460.201011657715,4757.007493853569,2504.9377434968947
alpha021,939.7437899112701,1855.731386423111,2041.6341462135315,3234.584120094776,3740.6160677671432,2362.4619020819664
alpha169,809.5317978858948,1695.4679698944092,2352.43507707119,3360.7559838294983,3436.753431275487,2330.9888519912956
alpha023,537.0292673110962,1607.4438846111298,1051.4672511816025,1974.910346031189,2548.028422355652,1543.7758342981338
alpha110,501.8009967803955,1022.2992010116577,900.810591340065,2144.8822576999664,2548.1769874095917,1423.5940068483353
