factor,IC_IR,IC_mean,IC_t,FM_λ_annual,FM_t,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha105,1.4960159676555471,0.06279227366267744,12.516567591940907,36.44221474868652,13.53766630560456,0.0,True,True,False,False
alpha141,1.2772041995126246,0.05712674126991037,8.077748615184023,23.080353149241464,7.71449840783048,0.0,True,True,False,False
alpha116,0.3864009899692083,0.03125927940569565,24.068780882937023,0.10062790080531474,6.54873346533679,1.0,True,True,True,True
alpha041,0.37886086410961917,0.0416362436057053,23.599109112275464,0.3273431225156309,7.379794360580625,0.04972945117237825,True,True,False,False
alpha001,0.3492193615668414,0.0314208545147332,21.74994704156628,0.12276400399600013,7.660118629691436,1.0,True,True,True,True
alpha035,0.3456336319354953,0.03642233152290355,21.53771819435081,0.28806050707833525,6.784809724968908,0.04170957775489186,True,True,False,False
alpha142,0.33797200591755727,0.038655522908956755,21.052156609755613,0.21787937351245243,6.100796134885959,1.0,True,True,True,True
alpha093,0.33131924275922947,0.0404900465220638,20.589831608934666,0.2286388496080627,4.849301469190422,0.0,True,True,False,False
alpha092,0.326251299586842,0.03846440311584044,20.301116555172626,0.21434009107684032,4.857346312850397,0.0,True,True,False,False
alpha057,0.3190894212911617,0.04631954275494073,19.878528268584233,0.055179626670848886,1.2603314820662699,,True,False,False,False
alpha091,0.3177226392764141,0.03624869587957714,19.783178155885434,0.21929314203273706,5.153710089447914,0.0,True,True,False,False
alpha039,0.31613412602567237,0.0346305078160808,19.694420251968296,0.20730361165610073,4.835331313934875,0.04920144255538382,True,True,False,False
alpha037,0.3158312897390046,0.03402944937225833,19.678088949148094,0.20668171891231202,4.764650301939037,0.048416173062065415,True,True,False,False
alpha094,0.314576950536028,0.04307907598328689,19.60498474695645,0.11020680781489652,1.7986478062224416,,True,False,False,False
alpha087,0.3109273260088492,0.040961752216638316,19.33007953832798,0.1908341646850151,4.442072972080086,1.0,True,True,True,True
alpha033,0.3044815167308486,0.031176186666368358,18.975819687573683,0.2368705954351923,5.783854029273053,0.043243243243243246,True,True,False,False
alpha108,0.30247016858435694,0.022868120841193686,18.840759729580526,0.13152349939678243,6.401152299506222,1.0,True,True,True,True
alpha101,-0.30239072105761927,-0.022778360587752195,-18.68226553739476,-0.5901848233011514,-6.487030658345407,0.0,True,True,False,False
alpha003,-0.30163172586414466,-0.04702585109544786,-18.786112070552235,-0.084657692003326,-6.826369606348196,1.0,True,True,True,True
alpha137,-0.30144410769124147,-0.022360943004439915,-18.587152211537003,-0.4657137149946208,-5.525290173414411,0.0,True,True,False,False
alpha144,0.3008299041500982,0.035701246356415965,18.73858823860843,0.17393799531051463,4.582917324098054,1.0,True,True,True,True
alpha075,0.2955713573538093,0.024292917896245214,18.411035220142733,0.06281822238298533,4.429153990331079,1.0,True,True,True,True
alpha023,0.2955713573538093,0.024292917896245214,18.411035220142733,0.06281822238298533,4.429153990331079,1.0,True,True,True,True
alpha061,0.2955586573700207,0.031007153293633585,18.41261644394569,0.16258636340483232,4.914047410538346,0.0007727975270479134,True,True,False,False
alpha051,0.29079430257977973,0.04589841032219834,18.11347416930001,0.32241830048184106,5.132124577597514,1.0,True,True,True,True
alpha086,0.288447270601647,0.037212126607073584,17.95569779152196,0.17496323008230943,4.216313461893594,1.0,True,True,True,True
alpha058,0.28775462558182807,0.04144923919575367,17.92644342735746,0.08153841565119899,1.9142782334160215,,True,False,False,False
alpha148,0.2876941429642631,0.03369050604738609,17.92036632427625,0.1514664820560576,4.093094667587329,1.0,True,True,True,True
alpha110,0.2871991188953663,0.0254958013910159,17.889531450258445,0.043021200032363247,2.860458541315524,1.0,True,True,True,True
alpha014,-0.28242568463291196,-0.04707529192335747,-17.592195919800115,-0.06978772045233209,-3.952600829802165,1.0,True,True,True,True
alpha171,0.2797495077670937,0.03387299175951969,17.43672196451193,-0.012613908592448552,-1.5853678176809882,,True,False,False,False
alpha162,0.27954151035360464,0.020650722231643968,17.403563873464588,0.09189134935510111,6.289748000062553,1.0,True,True,True,True
alpha011,-0.2787954386740824,-0.03689360741672068,-17.36606918409688,-3.021960732674258e-09,-7.8471410666548,1.0,True,True,True,True
alpha009,-0.27673761976460665,-0.041422257351822624,-17.23566685215775,4021.042833171277,0.5961512845150075,,True,False,False,False
alpha169,-0.27446860899011055,-0.018303414587765673,-17.087737566338763,-0.09095577468665238,-7.554445952768694,1.0,True,True,True,True
alpha010,-0.2735124885602832,-0.037698549631448926,-17.047970003285897,-0.15716024893451402,-2.673309812727236,0.16083376222336593,True,True,False,False
alpha082,0.27130719852068363,0.04756582727560055,16.899629355706875,0.10829476519189801,1.9836347363942797,,True,False,False,False
alpha056,0.2701725588316029,0.03482913928988388,16.828953051125605,0.3229519054058986,5.9543953343357074,1.0,True,True,True,True
