,alpha001,alpha002,alpha003,alpha008,alpha011,alpha013,alpha014,alpha015,alpha018,alpha021,alpha023,alpha027,alpha045,alpha048,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha056,alpha068,alpha070,alpha071,alpha073,alpha075,alpha076,alpha077,alpha078,alpha079,alpha080,alpha081,alpha085,alpha086,alpha087,alpha096,alpha098,alpha100,alpha103,alpha108,alpha109,alpha110,alpha111,alpha113,alpha116,alpha120,alpha122,alpha124,alpha142,alpha144,alpha146,alpha147,alpha148,alpha160,alpha161,alpha162,alpha163,alpha164,alpha165,alpha166,alpha167,alpha168,alpha169,alpha170,alpha173,alpha174,alpha175,alpha176,alpha178,alpha183,alpha187
alpha001,1.0,-0.07341567340228784,-0.5560074376744338,0.552829433070999,-0.5874236508262916,-0.156328523992582,-0.53219724182909,0.12199491585928529,0.0941405740515231,0.4188710258618864,0.6389079257661148,-0.09353767259884423,-0.029171429161752912,0.4269677891760688,0.49178208307353494,0.5660828377967843,0.5968774060692397,0.0941405740515231,0.08231544126472623,0.12451461011476772,0.17065291792117346,0.22749320503631387,0.43031482687868317,0.47311226392951605,0.5123318235047235,0.4188710258618864,0.6389079257661148,-0.14873107239707506,-0.1654545333890673,-0.17994054781204186,0.33231270138895347,0.29859324784499514,0.26999113663733953,0.26114405386291617,0.3922761415624532,0.4650624140103938,0.13389896240838645,-0.12851032657550884,-0.17333456632539676,0.18176852063506382,0.16061052586064156,-0.2599878301798545,0.7938347323541675,-0.1276469823977799,0.0581639394497794,0.590779049727543,0.13858992228081474,0.15806857285895887,0.18460696073671387,0.7470393981916954,0.5541855084737165,0.49358745672128884,0.3219218040480503,0.6634522736325292,0.5231374380696979,-0.494191970993089,0.40973559538225995,-0.4190500477662101,0.3274906569524431,-0.3433792396466862,0.40530572804120324,-0.4205470872107668,0.4268328206182239,-0.43568219782736417,0.3023689562332773,0.12101964652590931,0.04392668985116629,-0.053067180435795176,-0.055856991797374654,0.13519301556147512,0.517160665811769,0.14773262131116763
alpha002,-0.07341567340228784,1.0,0.01781961546685822,-0.09520216540143449,-0.05185230358246089,0.06342494708078172,0.004354379465392213,-0.013651287206935337,0.0828862384958513,-0.006458805253588739,-0.03968215382193559,0.45532669114423613,-0.06852318346035205,-0.07914267911976691,-0.06700885254499553,-0.05292079015041863,-0.05949052440065857,0.0828862384958513,-0.011613409930124158,-0.037125546321905,-0.00837254252521027,-0.019224520854752153,-0.00961614377986631,-0.001349119367636154,-0.003194798799983225,-0.006458805253588739,-0.03968215382193559,0.020024232384571974,0.021880491656131134,0.024155579398175316,-0.08268408228824072,-0.08815969001969846,-0.09498577688468911,0.07079020371685155,0.055903515777128696,0.055710200387341015,-0.014479754760323676,0.07482618417597353,0.031805491924747416,-0.06437241036197855,0.033765117080650456,0.033092026745470106,-0.030329433649094368,0.021249773634345166,-0.08362119963886686,-0.03390559708568846,0.14474047977350007,0.33373096480571024,-0.5317089604688691,-0.06294033585102868,-0.03901816803574959,0.05946330433718372,-0.23064529995108346,-0.009393470379171863,-0.024318305163512972,0.009732199097725895,-0.009514654865148006,-7.82691727141814e-05,-0.020791713166449146,0.03269276202723815,-0.006568829764117256,-0.00697816729113711,-0.013694316202842383,-0.018101581858118877,-0.008624025547183901,-0.016998910853829294,0.04956830241141706,0.0365093579485284,-0.6882384374065302,-0.9113786772192904,-0.03995370986951165,-0.060606175999968995
alpha003,-0.5560074376744338,0.01781961546685822,1.0,-0.8190177209180577,0.6924856528295479,-0.19398237639312546,0.9065962817666942,0.06440214189748558,0.05423683637829021,-0.27998638013422295,-0.38833824238014847,-0.09228739505051484,-0.0005016654847470762,-0.383607554691456,-0.4413730766772385,-0.5325267994321906,-0.5662962433734032,0.05423683637829021,0.018049477272941226,-0.035462262597747776,-0.10043388434326302,-0.18690101775014686,-0.8038037674680384,-0.8411258049463644,-0.8813537356559322,-0.27998638013422295,-0.38833824238014847,-0.07066158817344058,-0.04268647632750269,-0.02163343021659318,-0.0367600406441102,-0.006970485290554922,0.019930766812884894,-0.3023785970879934,-0.4047993284575013,-0.4275473795036407,-0.09227920254768747,-0.23328131867819338,-0.15026685546669924,0.16102771206026661,-0.35832900142625485,0.319361361461523,-0.6173480034461722,0.08536822636846361,-0.02238803325200554,-0.4141077224629052,-0.11042054766141544,-0.1977161615589268,-0.2350850538188564,-0.5772490149265715,-0.34615131441983477,-0.34401155223613955,-0.5346603916963522,-0.4676397970964781,-0.42121753340931506,0.22396303578963556,-0.2885937294888052,0.2230498491535138,-0.2882395981685882,0.09696643085300591,-0.332851694696822,0.18264995424864017,-0.207603159847822,0.31501819401234665,-0.1533621737394033,0.1182138232963323,-0.005654191399454648,0.03973470926107452,0.29437832786542645,-0.05986707923481354,-0.44479414502049286,-0.13215942979093173
alpha008,0.552829433070999,-0.09520216540143449,-0.8190177209180577,1.0,-0.5607777715699019,0.20474095929510938,-0.8973207273208108,-0.15997773876187743,0.013591721406899277,0.23528242703935598,0.3952506094760074,0.09771936080724829,0.03768427009085146,0.4235188332001008,0.5191023111650445,0.6113019568302419,0.6012702935867732,0.013591721406899277,0.054809229795272155,0.1255240649575574,0.2053430993939019,0.26297168058900006,0.7988589278599612,0.8653542516519336,0.9086433019429719,0.23528242703935598,0.3952506094760074,0.0812907052549322,0.05886414437452414,0.04240525215454778,0.010525906792907493,-0.023689231568640362,-0.05033984425630401,0.38542291212220803,0.4648932248037627,0.46403219069160495,0.13142053093332154,0.24402866400965423,0.16996468613967738,-0.16721355390757203,0.3107520800867711,-0.41245620049557663,0.6067181942314831,-0.04008577186870717,-0.011201310416996993,0.4412275950936955,0.15952179043399523,0.20385474699631323,0.40856931468283314,0.5782255479887456,0.33589647902801567,0.3116976487635319,0.5941004969176688,0.4490524781556346,0.3294296519136628,-0.20699680149921326,0.2053429902859969,-0.18871702836152884,0.21103359554682832,-0.11022056434803351,0.22705569265233505,-0.16535535418041516,0.22923118181231458,-0.27248317610826434,0.15813717194495697,-0.11905147853043187,-0.007855008077384361,-0.05412905927151621,-0.19521189917303916,0.1338886813203464,0.40956887681377246,0.14845406357732124
alpha011,-0.5874236508262916,-0.05185230358246089,0.6924856528295479,-0.5607777715699019,1.0,-0.03156282540426525,0.6247973891774062,-0.01810920774661622,0.08734858209767517,-0.19396720672300735,-0.3399418607067952,-0.11542226587231845,0.00598128401761997,-0.31151896450409866,-0.3416343538332344,-0.4102104713638084,-0.4250599973151023,0.08734858209767517,0.023639273739422664,-0.011032784155595088,-0.05613180508032898,-0.15828967775695804,-0.5858116309645539,-0.5937439459460102,-0.6229094232156962,-0.19396720672300735,-0.3399418607067952,0.11549942302167629,0.1361334005046554,0.15179139243269366,-0.04572569540748239,-0.017405232910670462,0.0016112839033822787,-0.4124060480609066,-0.49824495048440115,-0.4976362658541108,0.06684615264350191,-0.04340787320781201,-0.0059441322088482455,0.02331830861233524,-0.3130995152694958,0.33752240584595317,-0.5513056360936616,0.12407245888453083,-0.020085834279661242,-0.3321972444699095,-0.1464878880772402,-0.172400717752579,-0.14891585462794782,-0.5053660190221352,-0.2375751744146916,-0.3162708858790756,-0.4513993441458433,-0.38741390622915944,-0.394234132980887,0.22551591111998287,-0.24573867643360028,0.17463527439529672,-0.22438759811985828,0.09190534241904942,-0.27023444549521125,0.15092921989300254,-0.23044415782752498,0.30860907156225476,-0.1350895624559775,-0.07920232731796048,-0.2162855289756872,-0.1534158591219579,0.3544467721684617,-0.006058552613535564,-0.44961489234581536,-0.115347854357654
alpha013,-0.156328523992582,0.06342494708078172,-0.19398237639312546,0.20474095929510938,-0.03156282540426525,1.0,-0.19333714099998833,-0.07974097935490453,0.09758151882405901,-0.1850210580831438,-0.2173826495426588,0.05811153890162741,0.025364074192952432,-0.21015281387274526,-0.17452691860499134,-0.16500773169187202,-0.1667188059892904,0.09758151882405901,0.11824028988312571,0.0953033670156112,0.11957221232799553,0.1313019487889542,0.1482596428583784,0.18154382531088714,0.1902068881702527,-0.1850210580831438,-0.2173826495426588,0.6214993309108081,0.6120187004365762,0.5979557657636505,-0.37130324440353785,-0.3891930912063749,-0.4191360778643377,0.06023512804525931,0.05769345131332115,0.04179668599432318,0.29471677286415776,0.9902452501782903,0.9889566273159625,-0.9894097751641706,0.03544350505817964,-0.017563961000457658,-0.07755200684285471,-0.004603234725589303,0.08451583700414654,-0.22847089089567402,-0.019908889995552917,0.045335867058907395,0.05767036636423509,-0.06268736799621419,-0.1186234352188578,-0.133367114329804,0.1259139249495136,-0.12537566305032416,-0.10987190246505528,0.13731682915875595,-0.14830744216206831,0.1611708659847637,-0.0991706461364957,0.1404450731548191,-0.1250109197472968,0.1592551541138665,-0.11789112759791742,0.11408629817044674,-0.0946305995906656,-0.6336988551572831,-0.3430418575604932,-0.32029724515693897,-0.11344323632689053,-0.06582687809757445,0.08374582008730191,0.04678370642059493
alpha014,-0.53219724182909,0.004354379465392213,0.9065962817666942,-0.8973207273208108,0.6247973891774062,-0.19333714099998833,1.0,0.19509492297042894,0.017942999885498398,-0.27953242027556097,-0.37423998407794545,-0.12169126782771482,-0.029296664548509477,-0.43077064934135445,-0.4918352958928603,-0.5741209729900972,-0.606763275935464,0.017942999885498398,-0.001544042846279839,-0.04647800941608988,-0.11928919323853536,-0.20480365821197136,-0.9057552384452898,-0.9487170513408828,-0.9794488199780171,-0.27953242027556097,-0.37423998407794545,-0.0858359088101574,-0.06022662200012504,-0.043084051589373625,-0.0026794157168588996,0.027243946413890822,0.05203262797271032,-0.36182929966277333,-0.4485021082622178,-0.4530138828509666,-0.09057768092514835,-0.2360800246964955,-0.1504732036167024,0.15649353866351914,-0.3633253040039181,0.38092029349233036,-0.5933775594717046,0.056094683876232426,0.0015119118203684998,-0.42359995606926726,-0.14383160984237423,-0.2292708198140858,-0.27958059336241153,-0.5842265458552826,-0.3369048824259305,-0.36092017566540097,-0.5787577123548725,-0.4753127815951938,-0.37633356565796955,0.1731912162968662,-0.25411709840008323,0.19286853183283167,-0.26497797795872796,0.045223558795998646,-0.29713957328536483,0.1458824944065428,-0.17349902775366233,0.29472822374405633,-0.11377963451557192,0.12964305989257485,-0.0035828368176219908,0.027271245950377762,0.3194628010116452,-0.03975305268984256,-0.4065173137487423,-0.09573824629751748
alpha015,0.12199491585928529,-0.013651287206935337,0.06440214189748558,-0.15997773876187743,-0.01810920774661622,-0.07974097935490453,0.19509492297042894,1.0,-0.06709808022101513,-0.014814224784421055,0.07292963097857873,-0.17281224057718017,-0.09658996155740823,-0.13950395955990424,-0.07047853348484816,-0.03708605360765855,0.006538262995130944,-0.06709808022101513,-0.032154791106227265,0.004966823113344458,0.015343404176853035,0.019473312122133008,-0.31834734419416216,-0.2637043623438668,-0.23358349009802862,-0.014814224784421055,0.07292963097857873,-0.03782668457172168,-0.037227877186905865,-0.04018127222727047,0.16968820368708765,0.16217272599819407,0.15212560154822788,-0.1806434571170701,-0.10796332709915914,-0.03825527706888307,0.06730625936110027,-0.10292157232071658,-0.04296773753356789,0.05253311019449411,-0.09602101339478199,0.06502397267846119,0.05788985874333422,-0.1773932061253868,0.15845810320144987,-0.004147639342085103,-0.23481080019241096,-0.1608374905741648,-0.16568081943168997,0.1349305434403894,0.16767345787170804,0.11599423864289495,-0.21005836768041403,0.1419053575623284,0.03464635836900527,-0.08891904443592273,-0.02622957338674197,-0.006142137491066268,0.008234939799885585,-0.1204267695164033,-0.024285445394131487,-0.07336983877893605,0.14249381714913625,-0.042667346940401134,0.1397076011847952,0.04138372895271051,-0.041678413873360465,-0.08578394751906701,0.19286702156873317,0.05387120996853602,0.015425740628780512,0.025671399301949612
alpha018,0.0941405740515231,0.0828862384958513,0.05423683637829021,0.013591721406899277,0.08734858209767517,0.09758151882405901,0.017942999885498398,-0.06709808022101513,1.0,0.22107297634404982,0.08672203727385976,0.09676439230533417,-0.009864027458550985,0.4257645530408799,0.41165273965790133,0.39495379063203856,0.39313817451775496,1.0,0.8117132228808291,0.7212546950742058,0.7067281927915494,0.6928572702905185,-0.055491248215087136,-0.041417278984020485,-0.03919399786914846,0.22107297634404982,0.08672203727385976,0.25750435370716984,0.267675202572704,0.2767530474932501,0.3972217483886071,0.37158561977233084,0.33398648170369927,0.3254762039373237,0.31734109596136945,0.35384683102523856,0.7494306198297974,0.11661984274038052,0.09098294401447239,-0.05574358007615419,-0.4000510754546973,-0.01805330433302727,0.04945648044407997,-0.06966707822643584,0.10077734890054686,0.11212635679663897,0.43406411067782746,0.2563775121543101,0.07027808471979441,0.21734251463142074,0.3045382190493831,0.07964171840460588,-0.11118151201634095,0.22342482799196883,-0.0391648365600312,-0.33661032879802416,0.048549394674310534,-0.24765094912820929,-0.05829712409926627,-0.24313774105489397,-0.05921214481032397,-0.29195520700711136,0.04599183627904496,-0.08442611048318709,0.015067059115444951,-0.23529255347025857,-0.5851885539296879,-0.6305594884899524,0.06515509531636246,-0.08221429759261091,0.04130639996818932,0.07288959656717255
alpha021,0.4188710258618864,-0.006458805253588739,-0.27998638013422295,0.23528242703935598,-0.19396720672300735,-0.1850210580831438,-0.27953242027556097,-0.014814224784421055,0.22107297634404982,1.0,0.722653459671595,-0.010748145544720698,-0.04104611448665753,0.5193942816000652,0.5477596798880584,0.5703530730694897,0.5777212512417049,0.2210729763440498,0.17197808383102528,0.17329204670487497,0.189192915137519,0.25183861857054396,0.18957564917032807,0.23824205537567977,0.2521568194849867,1.0,0.722653459671595,-0.13803735149014318,-0.15267941757809358,-0.16455582122668672,0.5596165932139899,0.5422356641840472,0.5142829009147913,-0.0807491258007161,0.06069712914551531,0.19679575642677347,0.30997339712065813,-0.16821007171755994,-0.19329765056717596,0.2105806543979657,0.08616880729716843,-0.08410217469830339,0.5082798244243821,0.03050814434861987,-0.05182301513330982,0.6148545704521596,0.037801534225956245,0.10215762461102455,0.04934108493824452,0.40477955960697515,0.5826438812382215,0.32285155622464645,0.11716956798799348,0.5412222944759282,0.5105673418755405,-0.5796066256312652,0.6579970446107298,-0.680261403499448,0.5471793403059195,-0.5056206643138322,0.6142502804926541,-0.6424088034219864,0.39908800273460954,-0.4803011095586837,0.41773129543633797,0.11154085464395343,-0.21158713336836563,-0.28729229658009786,0.0260299007471635,0.03522006647758576,0.12102554144034693,0.04453968482611061
