year,annual,sharpe,mdd,n
2015,1.4565484078882327,6.292598208286185,-0.040370175145962924,232
2016,0.6106354033120007,3.721228171630468,-0.08045943391616116,232
2017,0.07147816681576269,0.656447448552345,-0.0656047964872028,232
2018,0.42386316129746193,3.651543143571488,-0.05175141675434913,231
2019,0.17300351208478215,1.3924081906145969,-0.09034341954948209,232
2020,0.1495702140420352,0.9418694572624156,-0.09004148514954662,231
2021,-0.03935375543005881,-0.18670113176877637,-0.2776340627562054,231
2022,0.318595733758124,2.280310823833093,-0.08525427462698147,230
2023,-0.02768927693324108,-0.20700652013803078,-0.1088700680110262,230
2024,0.09061404604897771,0.4898631130782058,-0.17213261267107013,230
2025,-0.037653818047013954,-0.18817074311150828,-0.16197850179337117,225
