year,annual,sharpe,mdd,n,pool_size
2015,0.4775764518379564,3.4382532714934984,-0.04064038548436856,232,16
2016,0.23859883258858772,2.2900933679938515,-0.053654344230757364,232,16
2017,-0.07270757098310543,-0.8845231793019076,-0.10279556127787931,232,16
2018,0.20060177267613732,2.3342714784949337,-0.044379355184043345,231,16
2019,-0.03183286290985654,-0.33418817201419876,-0.10327590025374853,232,16
2020,-0.06750602126413974,-0.5074642373465804,-0.11592732711644194,231,16
2021,-0.1005863622360651,-0.614021902779692,-0.23989309369105724,231,16
2022,0.06974045007061225,0.6656562825178953,-0.07629621226434688,230,16
2023,-0.031096374492480927,-0.3108092591776615,-0.07866031845522348,230,16
2024,0.04141757244660105,0.2820226490935578,-0.1518798994168392,230,16
2025,-0.16800733430420056,-1.0421415692630072,-0.17966852513165765,231,16
